player,NPGA,season
Lionel Messi,56,2011-2012
Lionel Messi,56,2014-2015
Cristiano Ronaldo,54,2014-2015
Lionel Messi,53,2012-2013
Luis Suárez,53,2015-2016
Zlatan Ibrahimović,46,2015-2016
Lionel Messi,46,2010-2011
Cristiano Ronaldo,46,2011-2012
Lionel Messi,45,2018-2019
Lionel Messi,44,2017-2018
Luis Suárez,43,2013-2014
Lionel Messi,42,2009-2010
Chris Sutton,41,1993-1994
Mohamed Salah,41,2017-2018
Cristiano Ronaldo,41,2010-2011
Luis Suárez,41,2016-2017
Thierry Henry,40,2002-2003
Thierry Henry,40,2004-2005
Cristiano Ronaldo,40,2015-2016
Lionel Messi,40,2016-2017
Kylian Mbappé,39,2018-2019
Andy Cole,39,1993-1994
Robin van Persie,39,2011-2012
Lionel Messi,39,2015-2016
Didier Drogba,38,2009-2010
Cristiano Ronaldo,38,2012-2013
Edin Džeko,37,2016-2017
Miroslav Klose,35,2005-2006
Luca Toni,35,2005-2006
Gonzalo Higuaín,35,2015-2016
Dries Mertens,35,2016-2017
Alan Shearer,35,1994-1995
Alan Shearer,35,1995-1996
Cristiano Ronaldo,34,2013-2014
Zlatan Ibrahimović,33,2012-2013
Cristiano Ronaldo,33,2007-2008
Edin Džeko,32,2008-2009
Pierre-Emerick Aubameyang,32,2016-2017
Edinson Cavani,32,2016-2017
Matt Le Tissier,32,1994-1995
Les Ferdinand,32,1995-1996
Thierry Henry,32,2003-2004
Robin van Persie,32,2012-2013
Alexis Sánchez,32,2016-2017
Dani Güiza,32,2007-2008
Samuel Eto'o,32,2008-2009
Lionel Messi,32,2013-2014
Aílton,31,2003-2004
Klaas-Jan Huntelaar,31,2011-2012
Andrea Belotti,31,2016-2017
Stan Collymore,31,1994-1995
Les Ferdinand,31,1994-1995
Chris Sutton,31,1994-1995
Diego Forlán,31,2008-2009
Lionel Messi,31,2008-2009
Gonzalo Higuaín,31,2009-2010
Karim Benzema,31,2015-2016
Neymar,31,2015-2016
Luis Suárez,31,2017-2018
Stefan Kießling,30,2012-2013
Kevin De Bruyne,30,2014-2015
Robert Lewandowski,30,2015-2016
Robert Lewandowski,30,2016-2017
Zlatan Ibrahimović,30,2013-2014
Edinson Cavani,30,2017-2018
Florian Thauvin,30,2017-2018
Francesco Totti,30,2006-2007
Zlatan Ibrahimović,30,2008-2009
Alan Shearer,30,1993-1994
Jürgen Klinsmann,30,1994-1995
Bryan Roy,30,1994-1995
Thierry Henry,30,2005-2006
Romelu Lukaku,30,2016-2017
Harry Kane,30,2017-2018
Samuel Eto'o,30,2005-2006
Roy Makaay,29,2004-2005
Luca Toni,29,2007-2008
Mario Gómez,29,2008-2009
Mario Gómez,29,2010-2011
Robert Lewandowski,29,2011-2012
Jadon Sancho,29,2019-2020
Pauleta,29,2002-2003
David Trezeguet,29,2001-2002
Antonio Di Natale,29,2010-2011
Mauro Icardi,29,2016-2017
Duván Zapata,29,2018-2019
Robbie Fowler,29,1995-1996
Dwight Yorke,29,1998-1999
Sergio Agüero,29,2011-2012
Sergio Agüero,29,2014-2015
Harry Kane,29,2016-2017
Roy Makaay,29,2002-2003
Diego Forlán,29,2004-2005
Cristiano Ronaldo,29,2009-2010
Karim Benzema,29,2011-2012
Alexis Sánchez,29,2013-2014
Luis Suárez,29,2014-2015
Gareth Bale,29,2015-2016
Roy Makaay,28,2003-2004
Robert Lewandowski,28,2012-2013
Djibril Cissé,28,2003-2004
Olivier Giroud,28,2011-2012
Ángel Di María,28,2015-2016
Neymar,28,2017-2018
Ciro Immobile,28,2017-2018
Fernando Torres,28,2007-2008
Luis Suárez,28,2012-2013
Daniel Sturridge,28,2013-2014
Raheem Sterling,28,2017-2018
Nihat Kahveci,28,2002-2003
Ronaldo,28,2004-2005
Gonzalo Higuaín,28,2011-2012
Neymar,28,2014-2015
Cristiano Ronaldo,28,2017-2018
Lionel Messi,28,2019-2020
Ebbe Sand,27,2000-2001
Pierre-Emerick Aubameyang,27,2015-2016
Shabani Nonda,27,2002-2003
Karim Benzema,27,2007-2008
André-Pierre Gignac,27,2008-2009
Hernán Crespo,27,2000-2001
Antonio Di Natale,27,2009-2010
Edinson Cavani,27,2010-2011
José Callejón,27,2016-2017
Peter Beardsley,27,1993-1994
Eric Cantona,27,1993-1994
Matt Le Tissier,27,1993-1994
Teddy Sheringham,27,1994-1995
Ryan Giggs,27,1995-1996
Alan Shearer,27,1996-1997
Michael Owen,27,1997-1998
Paolo Di Canio,27,1999-2000
Kevin Phillips,27,1999-2000
Jimmy Floyd Hasselbaink,27,2001-2002
Cristiano Ronaldo,27,2006-2007
Sergio Agüero,27,2018-2019
Eden Hazard,27,2018-2019
Mohamed Salah,27,2018-2019
Ronaldo,27,2002-2003
Ronaldo,27,2003-2004
Ruud van Nistelrooy,27,2006-2007
Gareth Bale,27,2013-2014
Sergej Barbarez,26,2000-2001
Giovane Élber,26,2002-2003
Marek Mintál,26,2004-2005
Edin Džeko,26,2009-2010
Marco Reus,26,2011-2012
Henrikh Mkhitaryan,26,2015-2016
Robert Lewandowski,26,2018-2019
Jadon Sancho,26,2018-2019
Moussa Sow,26,2010-2011
Eden Hazard,26,2011-2012
Pierre-Emerick Aubameyang,26,2012-2013
Memphis Depay,26,2017-2018
Marco Di Vaio,26,2001-2002
Andriy Shevchenko,26,2003-2004
David Trezeguet,26,2005-2006
Antonio Di Natale,26,2011-2012
Fabrizio Miccoli,26,2011-2012
Gonzalo Higuaín,26,2016-2017
Mohamed Salah,26,2016-2017
Dries Mertens,26,2018-2019
Darren Anderton,26,1994-1995
Robbie Fowler,26,1994-1995
Jimmy Floyd Hasselbaink,26,1998-1999
Jimmy Floyd Hasselbaink,26,2000-2001
Frank Lampard,26,2004-2005
Wayne Rooney,26,2005-2006
Frank Lampard,26,2009-2010
Wayne Rooney,26,2011-2012
Diego Costa,26,2016-2017
Raheem Sterling,26,2018-2019
Raúl,26,2000-2001
Rivaldo,26,2000-2001
Raúl,26,2002-2003
Ricardo Oliveira,26,2004-2005
Sergio Agüero,26,2007-2008
Sergio Agüero,26,2008-2009
Thierry Henry,26,2008-2009
Gonzalo Higuaín,26,2008-2009
Carlos Vela,26,2013-2014
Karim Benzema,26,2014-2015
James Rodríguez,26,2014-2015
Antoine Griezmann,26,2015-2016
Antoine Griezmann,26,2017-2018
França,25,2003-2004
Marcelinho Paraíba,25,2004-2005
Diego,25,2006-2007
Kevin Kurányi,25,2006-2007
Stefan Kießling,25,2009-2010
Kevin Kurányi,25,2009-2010
Mario Gómez,25,2011-2012
Claudio Pizarro,25,2011-2012
Roberto Firmino,25,2013-2014
Emil Forsberg,25,2016-2017
Robert Lewandowski,25,2017-2018
Robert Lewandowski,25,2019-2020
Timo Werner,25,2019-2020
Alexander Frei,25,2003-2004
Gervinho,25,2010-2011
Dimitri Payet,25,2012-2013
Alexandre Lacazette,25,2014-2015
Christian Vieri,25,2001-2002
Adrian Mutu,25,2002-2003
Edinson Cavani,25,2012-2013
Marek Hamšík,25,2012-2013
Ciro Immobile,25,2013-2014
Carlos Tevez,25,2013-2014
Carlos Tevez,25,2014-2015
Lorenzo Insigne,25,2016-2017
Fabio Quagliarella,25,2018-2019
Les Ferdinand,25,1992-1993
Mark Bright,25,1993-1994
Andrei Kanchelskis,25,1995-1996
Dennis Bergkamp,25,1997-1998
Thierry Henry,25,2000-2001
Thierry Henry,25,2001-2002
Didier Drogba,25,2006-2007
Wayne Rooney,25,2006-2007
Emmanuel Adebayor,25,2007-2008
Roque Santa Cruz,25,2007-2008
Cesc Fàbregas,25,2009-2010
Wayne Rooney,25,2009-2010
Emmanuel Adebayor,25,2011-2012
Gareth Bale,25,2012-2013
Mesut Özil,25,2015-2016
Jamie Vardy,25,2015-2016
Leroy Sané,25,2017-2018
Kevin De Bruyne,25,2019-2020
Luís Figo,25,2000-2001
Xavi,25,2008-2009
Karim Benzema,25,2013-2014
Diego Costa,25,2013-2014
Cristiano Ronaldo,25,2016-2017
Iago Aspas,25,2017-2018
Wissam Ben Yedder,25,2018-2019
Pablo Sarabia,25,2018-2019
